,sso_name,sso_number
6113,2000 FK51,45713.0
98291,1999 RN111,66533.0
122097,2005 EV48,232963.0
17043,2008 AY29,361772.0
46393,2001 VB43,89321.0
19970,3355 T-2,32709.0
44024,2000 SG266,146166.0
65958,Protopapa,9529.0
122398,2000 QC193,30500.0
27452,1999 RS210,21769.0
104963,Laguerre,26357.0
48367,1999 XB242,45243.0
42377,1997 VW4,52621.0
14245,2001 UF84,188027.0
91276,2000 NT23,61178.0
19834,1997 VH1,52617.0
76571,1998 SD61,162121.0
78018,1849 T-3,216463.0
38473,1995 VG11,96276.0
35529,Babadzhanyan,9017.0
29832,1999 WA3,41200.0
121488,2001 VC36,140897.0
84404,2005 JP32,145198.0
59106,2000 WQ93,63047.0
12613,1997 XX4,20229.0
36538,1997 EG,73884.0
79645,1998 YK7,85842.0
45075,2003 UN48,133574.0
6034,1999 CP61,47114.0
7179,1999 CN103,49564.0
95632,1996 NY,31044.0
102850,Sakabe,8115.0
84770,1999 FZ34,91300.0
7036,2001 OK102,51855.0
60332,4136 T-3,118144.0
83594,1994 AG1,20072.0
109631,2000 AF131,213116.0
21458,2000 QB150,61732.0
104011,2002 PS10,195691.0
113250,2000 AN149,45415.0
67844,2000 KS35,81819.0
66426,2001 DU101,107588.0
45483,2000 ST19,62149.0
90009,2000 EZ96,43277.0
42048,Francispoulenc,22341.0
67830,2000 BU20,86424.0
32758,2001 DC21,77067.0
1883,2000 QL202,36655.0
79967,Jayleno,13212.0
102457,2001 FE65,139125.0
126592,2000 YD61,138890.0
71480,1998 QS9,13707.0
11511,1999 TD166,102396.0
77014,1999 TW223,66780.0
41139,1999 CZ95,79952.0
59435,2002 YO22,114410.0
29073,2000 UK18,62770.0
27811,1008 T-3,90646.0
44844,Yamatai,4929.0
17843,2001 OQ55,155915.0
78954,Tomhamilton,4897.0
120644,2000 WQ169,98676.0
17822,1998 RX,13297.0
76673,2005 RA10,152215.0
29613,2000 GJ161,30233.0
40911,Jessie,10464.0
46718,2004 BM23,144034.0
19187,1999 RS194,40661.0
48775,1998 RL56,74202.0
75838,1997 AU10,23641.0
50290,1999 FD29,91294.0
30321,Onderlicka,16817.0
101734,1998 XW27,91207.0
15393,2001 QP262,88585.0
17690,1999 RQ194,21757.0
64683,2000 SX328,93440.0
82226,2001 TE40,219596.0
104196,1998 SQ70,23905.0
45876,2003 SD47,177159.0
112186,2001 XG136,125764.0
57211,1999 XH201,43178.0
57658,2000 WJ33,39116.0
92091,2005 EV122,161580.0
62353,Sigenori,8544.0
127164,2004 FJ64,116851.0
33585,Portugal,3933.0
47245,2000 AN129,234129.0
34985,2001 QW246,139724.0
10418,1980 SF,13483.0
59394,3518 P-L,22196.0
98872,2002 JN14,95684.0
34053,2001 QQ289,55186.0
37626,2002 AT120,194914.0
99246,1999 FA17,101750.0
73933,1999 KW15,59728.0
15659,2000 WB101,41876.0
112789,1999 CM50,59284.0
29361,2000 EC2,190483.0
104535,1996 XR1,10610.0
26590,2000 SP292,138764.0
