,sso_name,sso_number
32670,Davidaguilar,5332.0
100667,1998 WM,137062.0
7418,2004 LJ1,159857.0
16469,1989 JA,7335.0
35788,2002 JC,188174.0
64944,Cuyo,1917.0
7757,1999 VV,36236.0
18430,Ondaatje,6569.0
44221,2005 TG45,413563.0
92491,2001 KQ1,88263.0
59934,Phaethon,3200.0
101947,2015 BG311,523823.0
35902,1998 YQ11,162149.0
33478,Bede,3691.0
78611,2002 OA22,329437.0
118031,1998 FM5,100756.0
45544,1999 JW6,66272.0
33476,Heracles,5143.0
120512,2000 LY27,67367.0
120038,Toro,1685.0
112173,2003 QQ47,143649.0
14841,2001 WG2,55532.0
102051,2000 YF29,523804.0
110793,2002 PC130,382625.0
18009,Oljato,2201.0
90045,2009 WF104,438902.0
119661,2008 AT28,435404.0
85551,1993 BW3,6053.0
2203,2002 UX,283729.0
23459,Robwhiteley,20460.0
110284,2001 DU8,54686.0
23203,Pan,4450.0
79953,Lucianotesi,15817.0
23530,1999 KX4,137199.0
37382,Nyx,3908.0
82030,2002 TC9,142464.0
84275,Midas,1981.0
124177,Tanith,5869.0
102695,1998 WT,22753.0
116546,1999 GJ4,40267.0
101445,2013 AP60,500749.0
9390,1993 MF,5836.0
31617,Blume,18106.0
108937,Wilson-Harrington,4015.0
96712,1991 LH,219021.0
44172,2002 AC2,159608.0
67612,2003 EB50,163696.0
59368,Boreas,1916.0
50423,2003 YQ117,143947.0
98021,2000 OG,24443.0
38127,Pocahontas,4487.0
76148,1991 CS,7822.0
95921,Peleus,11311.0
107989,2001 PL9,108906.0
514,2001 OZ13,68359.0
77434,2008 LW8,241370.0
107202,Epona,3838.0
55780,2011 UL21,415029.0
98250,1998 RO4,27031.0
110416,1999 TA10,237442.0
69703,Ptah,5011.0
88633,2000 QP,87309.0
71942,1994 PC1,7482.0
84148,2012 KJ11,459386.0
45334,2000 JH5,162463.0
95068,Nefertiti,3199.0
28673,2006 SZ217,248818.0
107286,Cuno,4183.0
31126,Oze,7358.0
74029,2000 NF5,19764.0
19490,1999 VL12,162273.0
106545,1998 WQ5,85804.0
5282,1998 OR2,52768.0
53015,2002 DB4,141484.0
50283,1999 OW3,96744.0
16868,2005 XJ8,377732.0
57706,2006 NM,428086.0
119011,1989 VA,99907.0
42980,1998 XS16,137084.0
3099,1994 AW1,385186.0
63409,2000 QJ1,87311.0
74749,Minos,6239.0
110961,1992 JB,9058.0
64719,2001 RY11,249886.0
55971,2011 MD11,442243.0
109723,2000 QW69,162510.0
50508,1999 KV4,25330.0
91413,2003 HB6,326732.0
117845,2003 SA224,143678.0
67016,2001 CB21,138971.0
44938,1998 KK17,52750.0
98682,McAuliffe,3352.0
75149,2000 CK33,86450.0
116295,2005 GN59,164400.0
33380,1991 CB1,8507.0
91997,2001 XU10,111253.0
112757,Tara,5863.0
81685,2003 KR18,242187.0
10184,2007 DA41,224926.0
52576,1999 TY16,53430.0
