,fullDesignation,ssObjectId,pop
0,2011 1008 T-3,-2544184770395092401,MB
1,2011 1849 T-3,4359298172234922133,MB
2,2011 1980 SF,-1934966385652150400,MB
3,2011 1994 AG1,-7102122372888861460,MB
4,2011 1995 VG11,-5358380930346538953,MB
5,2011 1996 NY,-3136199212883652416,MB
6,2011 1996 XR1,8307017096113866219,MB
7,2011 1997 AU10,5226111362545940654,MB
8,2011 1997 EG,-4477445019828618925,MB
9,2011 1997 VH1,7218855503625858737,MB
10,2011 1997 VW4,3229719196546104114,MB
11,2011 1997 XX4,-5114943815260724717,MB
12,2011 1998 QS9,922932200739712560,MB
13,2011 1998 RL56,8494169938186884335,MB
14,2011 1998 RX,3331818874397183544,MB
15,2011 1998 SD61,2857144715169875987,MB
16,2011 1998 SQ70,1137819085659831882,MB
17,2011 1998 XW27,8579319737190726471,MB
18,2011 1998 YK7,-1931179670841682808,MB
19,2011 1999 CM50,-1105853154525821667,MB
20,2011 1999 CN103,95318764952877977,MB
21,2011 1999 CP61,5652245503900830361,MB
22,2011 1999 CZ95,-2281328231134660629,MB
23,2011 1999 FA17,5614171169325090290,MB
24,2011 1999 FD29,8085242514600495812,MB
25,2011 1999 FZ34,5009088919416526058,MB
26,2011 1999 KW15,-8797655376031669224,MB
27,2011 1999 RN111,5955801603919507670,MB
28,2011 1999 RQ194,1338012086388420431,MB
29,2011 1999 RS194,-7412297024010443673,MB
30,2011 1999 RS210,-6992444381511964897,MB
31,2011 1999 TD166,3315448460759541981,MB
32,2011 1999 TW223,-2057703437624294685,MB
33,2011 1999 WA3,9186524010517356977,MB
34,2011 1999 XB242,2184601643198998813,MB
35,2011 1999 XH201,-761280935724158460,MB
36,2011 2000 AF131,3860756660434970775,MB
37,2011 2000 AN129,1325912454789943256,MB
38,2011 2000 AN149,7299821094696955726,MB
39,2011 2000 BU20,-8884019454025057114,MB
40,2011 2000 EC2,-6613176803871423672,MB
41,2011 2000 EZ96,-542794252740495461,MB
42,2011 2000 FK51,-5459453376834199996,MB
43,2011 2000 GJ161,-2116581317214667961,MB
44,2011 2000 KS35,3716922516374596079,MB
45,2011 2000 NT23,-2483793558355217285,MB
46,2011 2000 QB150,-4701039324653747572,MB
47,2011 2000 QC193,8620404593032813684,MB
48,2011 2000 QL202,-5735692634738267816,MB
49,2011 2000 SG266,6565450283274171864,MB
50,2011 2000 SP292,-5387747089318104607,MB
51,2011 2000 ST19,3206988072866478780,MB
52,2011 2000 SX328,5480581821967406521,MB
53,2011 2000 UK18,-4745342103113060838,MB
54,2011 2000 WB101,1758930236613858357,MB
55,2011 2000 WJ33,-329668953050842613,MB
56,2011 2000 WQ169,-4455959874462111166,MB
57,2011 2000 WQ93,7680677413216615588,MB
58,2011 2000 YD61,348211984609323824,MB
59,2011 2001 DC21,8133702399655861390,MB
60,2011 2001 DU101,-5363769545972750312,MB
61,2011 2001 FE65,-101408656333568339,MB
62,2011 2001 OK102,8359398843184645722,MB
63,2011 2001 OQ55,-282450562987210111,MB
64,2011 2001 QP262,-3337366804452618528,MB
65,2011 2001 QQ289,-2306975817454897371,MB
66,2011 2001 QW246,-8093690917447263520,MB
67,2011 2001 TE40,-859581483032915895,MB
68,2011 2001 UF84,-3025504110578471785,MB
69,2011 2001 VB43,8902025330035626039,MB
70,2011 2001 VC36,-4951616492525248264,MB
71,2011 2001 XG136,7093584743524575117,MB
72,2011 2002 AT120,5692589363378276792,MB
73,2011 2002 JN14,2409587256804675544,MB
74,2011 2002 PS10,-4592942388301965691,MB
75,2011 2002 YO22,-2187552294249980786,MB
76,2011 2003 SD47,-7429674884636425080,MB
77,2011 2003 UN48,7733180895219993800,MB
78,2011 2004 BM23,-8686146210567279661,MB
79,2011 2004 FJ64,-4626213247541453015,MB
80,2011 2005 EV122,-5418892611789505027,MB
81,2011 2005 EV48,-4577380181392168036,MB
82,2011 2005 JP32,-4811300876618554969,MB
83,2011 2005 RA10,8558979822627522569,MB
84,2011 2008 AY29,-7055902913713011249,MB
85,2011 3355 T-2,-2233120844575413104,MB
86,2011 3518 P-L,-1137937963918244659,MB
87,2011 4136 T-3,2260937350880482759,MB
0,2011 1995 SM55,-2809221544385430445,KBO
1,2011 1999 OX3,-3001215547471762404,KBO
2,2011 2002 TX300,8468975038485799193,KBO
3,2011 2002 UX25,5957066013126557501,KBO
4,2011 2003 OP32,-891784756237677436,KBO
5,2011 2003 VS2,9036074115306873337,KBO
6,2011 2004 XA192,-7690529419139750243,KBO
7,2011 2005 RN43,330562727036030236,KBO
8,2011 2005 RR43,-4710530622550439244,KBO
9,2011 2010 TY53,5553754456615958975,KBO
10,2011 2013 LU28,-6615605101365646097,KBO
11,2011 2015 KZ120,-2965345838833166035,KBO
0,2011 1989 JA,2379314635023415933,NEA
1,2011 1989 VA,-3905426649517754153,NEA
2,2011 1991 CB1,-5790503359966392391,NEA
3,2011 1991 CS,5215111401782780210,NEA
4,2011 1991 LH,-6318313763755672508,NEA
5,2011 1992 JB,6857233033883613838,NEA
