adler,adler_table,dp03_catalogs_10yr,dp03_catalogs_10yr_table,dp1,dp1_table,dp2,dp2_table,MPC,MPC_table,Description
ssObjectId,Observations,ssObjectId,DiaSource,ssObjectId,DiaSource,ssObjectId,DiaSource,provid,obs_sbn,
diaSourceId,Observations,diaSourceId,DiaSource,diaSourceId,DiaSource,diaSourceId,DiaSource,obsid,obs_sbn,
mag,Observations,mag,DiaSource,None,DiaSource,None,DiaSource,mag,obs_sbn,
magErr,Observations,magErr,DiaSource,None,DiaSource,None,DiaSource,rmsmag,obs_sbn,
midpointMjdTai,Observations,midPointMjdTai,DiaSource,midpointMjdTai,DiaSource,midpointMjdTai,DiaSource,mjd_tai,obs_sbn,# TODO: pick a good adler time name
ra,Observations,ra,DiaSource,ra,DiaSource,ra,DiaSource,ra,obs_sbn,
dec,Observations,dec,DiaSource,dec,DiaSource,dec,DiaSource,dec,obs_sbn,
phaseAngle,Observations,phaseAngle,SSSource,phaseAngle,SSSource,phaseAngle,SSSource,phaseAngle,obs_sbn,
topocentricDist,Observations,topocentricDist,SSSource,topocentricDist,SSSource,topoRange,SSSource,topocentricDist,obs_sbn,
heliocentricDist,Observations,heliocentricDist,SSSource,heliocentricDist,SSSource,helioRange,SSSource,heliocentricDist,obs_sbn,
heliocentricX,Observations,heliocentricX,SSSource,heliocentricX,SSSource,helio_x,SSSource,None,obs_sbn,
heliocentricY,Observations,heliocentricY,SSSource,heliocentricY,SSSource,helio_y,SSSource,None,obs_sbn,
heliocentricZ,Observations,heliocentricZ,SSSource,heliocentricZ,SSSource,helio_z,SSSource,None,obs_sbn,
topocentricX,Observations,topocentricX,SSSource,topocentricX,SSSource,topo_x,SSSource,None,obs_sbn,
topocentricY,Observations,topocentricY,SSSource,topocentricY,SSSource,topo_y,SSSource,None,obs_sbn,
topocentricZ,Observations,topocentricZ,SSSource,topocentricZ,SSSource,topo_z,SSSource,None,obs_sbn,
eclipticLambda,Observations,eclipticLambda,SSSource,eclipticLambda,SSSource,eclLambda,SSSource,None,obs_sbn,
eclipticBeta,Observations,eclipticBeta,SSSource,eclipticBeta,SSSource,eclBeta,SSSource,None,obs_sbn,
discoverySubmissionDate,SSObject,discoverySubmissionDate,SSObject,discoverySubmissionDate,SSObject,None,SSObject,None,obs_sbn,
firstObservationDate,SSObject,firstObservationDate,SSObject,None,SSObject,firstObservationMjdTai,SSObject,None,obs_sbn,
arc,SSObject,arc,SSObject,None,SSObject,arc,SSObject,None,obs_sbn,
numObs,SSObject,numObs,SSObject,numObs,SSObject,nObs,SSObject,None,obs_sbn,
maxExtendedness,SSObject,maxExtendedness,SSObject,None,SSObject,extendednessMax,SSObject,None,obs_sbn,
minExtendedness,SSObject,minExtendedness,SSObject,None,SSObject,extendednessMin,SSObject,None,obs_sbn,
{filt}_H,SSObject,{filt}_H,SSObject,None,SSObject,{filt}_H,SSObject,None,obs_sbn,# TODO: {filt} will be replaced by band in AdlerPlanetoid
{filt}_G12,SSObject,{filt}_G12,SSObject,None,SSObject,{filt}_G12,SSObject,None,obs_sbn,
{filt}_HErr,SSObject,{filt}_HErr,SSObject,None,SSObject,{filt}_HErr,SSObject,None,obs_sbn,
{filt}_G12Err,SSObject,{filt}_G12Err,SSObject,None,SSObject,{filt}_G12Err,SSObject,None,obs_sbn,
{filt}_Ndata,SSObject,{filt}_Ndata,SSObject,None,SSObject,{filt}_nObs,SSObject,None,obs_sbn,
medianExtendedness,SSObject,medianExtendedness,SSObject,None,SSObject,extendednessMedian,SSObject,None,obs_sbn,
mpcDesignation,MPCORB,mpcDesignation,MPCORB,mpcDesignation,MPCORB,packed_primary_provisional_designation,mpc_orbits,None,mpc_orbits,Number or provisional designation (in packed form)
fullDesignation,MPCORB,fullDesignation,MPCORB,None,MPCORB,unpacked_primary_provisional_designation,mpc_orbits,fullDesignation,mpc_orbits,
mpcNumber,MPCORB,mpcNumber,MPCORB,None,MPCORB,None,mpc_orbits,None,mpc_orbits,
mpcH,MPCORB,mpcH,MPCORB,mpcH,MPCORB,h,mpc_orbits,mpcH,mpc_orbits,
mpcG,MPCORB,mpcG,MPCORB,None,MPCORB,g,mpc_orbits,None,mpc_orbits,
epoch,MPCORB,epoch,MPCORB,epoch,MPCORB,epoch_mjd,mpc_orbits,epoch,mpc_orbits,
tperi,MPCORB,tperi,MPCORB,t_p,MPCORB,peri_time,mpc_orbits,t_p,mpc_orbits,
peri,MPCORB,peri,MPCORB,peri,MPCORB,argperi,mpc_orbits,peri,mpc_orbits,
node,MPCORB,node,MPCORB,node,MPCORB,node,mpc_orbits,node,mpc_orbits,
incl,MPCORB,incl,MPCORB,incl,MPCORB,i,mpc_orbits,incl,mpc_orbits,
e,MPCORB,e,MPCORB,e,MPCORB,e,mpc_orbits,e,mpc_orbits,# TODO: more descriptive adler names
n,MPCORB,n,MPCORB,None,MPCORB,mean_motion,mpc_orbits,None,mpc_orbits,
q,MPCORB,q,MPCORB,q,MPCORB,q,mpc_orbits,q,mpc_orbits,
uncertaintyParameter,MPCORB,uncertaintyParameter,MPCORB,None,MPCORB,u_param,mpc_orbits,None,mpc_orbits,
flags,MPCORB,flags,MPCORB,None,MPCORB,None,mpc_orbits,None,mpc_orbits,
a,MPCORB,None,MPCORB,None,MPCORB,a,mpc_orbits,a,mpc_orbits,"# TODO: include semimajor axis, a"
